Date,Open,High,Low,Close,Volume
25-05-2016,474.924988,476.399994,470.575012,475.600006,4224270
26-05-2016,475,476.200012,472.049988,473.424988,6487202
27-05-2016,474.524994,488.450012,474.375,487.350006,6126758
30-05-2016,488.200012,490.75,482.5,484.350006,4404182
31-05-2016,484.5,486.5,478.25,478.924988,10666938
01-06-2016,478.975006,483.049988,475.899994,476.799988,4134068
02-06-2016,477.25,478.575012,472.549988,478.125,4687704
03-06-2016,480,481.450012,477.924988,479.825012,3951424
06-06-2016,480.5,481.5,476.274994,477.399994,3964932
07-06-2016,478.625,480.475006,475.799988,477.524994,8665254
08-06-2016,479,479,474.575012,477.049988,5547950
09-06-2016,480,488.225006,478.100006,485.575012,7151680
10-06-2016,487,492.200012,484.149994,488.350006,7459474
13-06-2016,484.950012,491.725006,481.524994,490.549988,4669712
14-06-2016,490.475006,492.700012,484.649994,488.125,4994016
15-06-2016,490,493.25,486.875,492.299988,5087842
16-06-2016,490.5,491.825012,483.524994,488.149994,4284658
17-06-2016,488.5,489.325012,485.049988,487.450012,4816192
20-06-2016,486.075012,496.299988,484,495.100006,4918474
21-06-2016,497.049988,497.075012,489.850006,493.549988,6369730
22-06-2016,492.5,492.950012,488.549988,490.25,5846568
23-06-2016,489.975006,491,485,490.225006,4497386
24-06-2016,482.450012,482.450012,466.700012,475.725006,11422346
27-06-2016,470.25,479.200012,470.25,477.825012,4189198
28-06-2016,478.200012,480.774994,477.5,478.899994,3476740
29-06-2016,481,484.475006,480,483.450012,3439714
30-06-2016,486,488.75,483.524994,484.575012,5832658
01-07-2016,486.375,488.399994,485,486.725006,3021958
04-07-2016,487.75,496.799988,487.75,493.350006,3567500
05-07-2016,493.049988,501.450012,490.149994,496.549988,5193356
07-07-2016,496.25,500.25,493.075012,493.950012,5499296
08-07-2016,493.5,494.5,488.174988,489.200012,3264450
11-07-2016,495.5,497.475006,492.75,496.25,3779212
12-07-2016,497.625,502.5,495.5,501.700012,4465370
13-07-2016,502.600006,508.350006,502.075012,504.375,6818772
14-07-2016,504.049988,507.049988,499.125,502.450012,4918366
15-07-2016,504.5,510.5,501.75,506.100006,6397124
18-07-2016,514,519.375,500.875,503.125,14678172
19-07-2016,503,511.475006,497.649994,508.899994,7611500
20-07-2016,509.975006,514.150024,508.274994,511.5,5607290
21-07-2016,512,512.5,502.5,503.174988,3068088
22-07-2016,503,508.899994,502.549988,507.424988,3154228
25-07-2016,507,511.875,503.674988,511.375,3767768
26-07-2016,511.5,517.400024,507.600006,512.025024,4807744
27-07-2016,511.524994,513,504.475006,506.549988,5042896
28-07-2016,507.475006,515.25,506.524994,513.174988,7136750
29-07-2016,512,512.450012,506,507.450012,4402328
01-08-2016,509,510.149994,502.524994,504.75,3647388
02-08-2016,504,510,503.149994,506.399994,3524816
03-08-2016,507.200012,507.200012,495.75,496.975006,5427608
04-08-2016,499.5,500,491.700012,496.5,4657432
05-08-2016,499,509.5,498.524994,508.125,5535828
08-08-2016,509.950012,517,509.325012,514.625,6197506
09-08-2016,513.5,517.25,510.5,515.349976,6076092
10-08-2016,515.625,517.275024,501,501.825012,6158926
11-08-2016,500.975006,511.424988,499.799988,507.049988,6477798
12-08-2016,508.5,521.450012,508.5,517.900024,7481722
16-08-2016,518.125,522.400024,507.75,512.450012,6111206
17-08-2016,512.049988,514.400024,503.600006,506.649994,7079940
18-08-2016,508,511.825012,508,509.024994,3542898
19-08-2016,509,511,503.549988,507.450012,3738616
22-08-2016,506,509.850006,503.600006,505.924988,3055808
23-08-2016,506,507.5,502.5,505.225006,3346656
24-08-2016,505.850006,510.975006,505.5,510.25,3986306
25-08-2016,510.600006,514.5,504.5,506.350006,6839550
26-08-2016,508.950012,515.400024,507.299988,513.950012,4406930
29-08-2016,513.625,529.875,513.049988,528.724976,7402990
30-08-2016,531,534.25,526.5,533.200012,8307044
31-08-2016,532.450012,537,523.5,530,10649920
01-09-2016,526.5,536.375,512.849976,514.599976,19484908
02-09-2016,515.549988,516.275024,501.149994,506.674988,12857628
06-09-2016,509.950012,512.5,507.5,509.950012,5262182
07-09-2016,511,513.525024,506.524994,508.825012,5909990
08-09-2016,511.524994,517.974976,510.100006,516.700012,5580392
09-09-2016,517.5,524.950012,515,522.275024,6980882
12-09-2016,515.200012,528,514.575012,523.25,15399600
14-09-2016,524,529.5,520.450012,522.375,8505508
15-09-2016,523.5,535.099976,523.5,532.5,14341770
16-09-2016,533.5,546.924988,529.549988,537.775024,17977852
19-09-2016,536.275024,544,535.5,541.200012,7624648
20-09-2016,542,542.375,534.525024,537.099976,5271708
21-09-2016,537,542.450012,534.5,536.125,5002952
22-09-2016,541.5,547.900024,539.5,544.474976,8577088
23-09-2016,544.5,554.724976,544.5,551.400024,14211450
26-09-2016,551.700012,564.775024,550.125,553.599976,17469886
27-09-2016,558.5,562.974976,553.299988,555.25,8857386
28-09-2016,553.950012,554,543.150024,545.325012,11346976
29-09-2016,547.5,555.375,533.700012,536.224976,9719492
30-09-2016,534,547.275024,533.150024,541.849976,5120210
03-10-2016,543.5,553.974976,538.125,545.349976,8286218
04-10-2016,546.525024,554.150024,546,548.174988,5995088
05-10-2016,552,553.25,542.900024,544.700012,4932794
06-10-2016,546,563.125,546,555.400024,9651260
07-10-2016,557,561.525024,553.25,554.5,6985676
10-10-2016,557,561,547,548.174988,5281946
13-10-2016,544.5,544.525024,526,528.575012,10029334
14-10-2016,531.5,541,530.825012,538.825012,6978946
17-10-2016,540,540.400024,529.375,530.325012,4492474
18-10-2016,533,541.375,531.025024,540.549988,5062266
19-10-2016,542.224976,547.349976,540.700012,543.674988,7805312
20-10-2016,546.974976,549,542.025024,543.775024,4629042
21-10-2016,548.5,548.5,529.200012,532.099976,19936484
24-10-2016,535,537,530.325012,531.650024,4806198
25-10-2016,532.5,532.625,527.099976,530.424988,3501422
26-10-2016,528.025024,529.724976,526.049988,527.025024,5004110
27-10-2016,525.549988,526.950012,521.700012,524.349976,5871148
28-10-2016,525,529,521.900024,527.474976,3715834
01-11-2016,525.650024,527.974976,523.700012,525.5,4674022
